Model,Encoder,Decoder,Init Features,Epochs,MRR,Hits@1,Hits@3,Hits@10
CompGCN-Custom (Features),"CompGCN (2L, dim=64)",RotatE,Gender + Gen + PR + Deg + Community(1-hot),100,0.6766983270645142,0.5093220338983051,0.8169491525423729,0.9677966101694915
Standard RotatE (Random),None (Embedding),RotatE,Random,100,0.7905641794204712,0.676271186440678,0.8974576271186441,0.9720338983050848
